event_date,horizon,limit_date,prev_date,as_of,horizon_max,drift_k,n_polls,last_poll,n_parties,orphans,n_sim,seed,seconds,error
2015-12-20,6,2015-12-14,2011-11-20,2015-12-14,6.0,1.4048957364829077e-05,394.0,2015-12-14,12.0,UP+Cs,500.0,42.0,30.7,
2015-12-20,14,2015-12-06,2011-11-20,2015-12-06,14.0,1.4048957364829077e-05,374.0,2015-12-06,12.0,UP+Cs,500.0,42.0,30.8,
2015-12-20,30,2015-11-20,2011-11-20,2015-11-20,30.0,1.4048957364829077e-05,352.0,2015-11-20,12.0,UP+Cs,500.0,42.0,30.6,
2015-12-20,60,2015-10-21,2011-11-20,2015-10-21,60.0,1.4048957364829077e-05,324.0,2015-10-19,12.0,UP+Cs,500.0,42.0,28.1,
2015-12-20,90,2015-09-21,2011-11-20,2015-09-21,90.0,1.4048957364829077e-05,306.0,2015-09-20,12.0,UP+Cs,500.0,42.0,28.0,
2015-12-20,180,2015-06-23,2011-11-20,2015-06-23,180.0,1.4048957364829077e-05,268.0,2015-06-23,12.0,UP+Cs,500.0,42.0,27.7,
2016-06-26,6,2016-06-20,2015-12-20,2016-06-20,6.0,4.014532145261233e-05,134.0,2016-06-20,10.0,,500.0,42.0,26.6,
2016-06-26,14,2016-06-12,2015-12-20,2016-06-12,14.0,4.014532145261233e-05,103.0,2016-06-12,10.0,,500.0,42.0,26.4,
2016-06-26,30,2016-05-27,2015-12-20,2016-05-27,30.0,4.014532145261233e-05,87.0,2016-05-27,10.0,,500.0,42.0,24.8,
2016-06-26,60,2016-04-27,2015-12-20,2016-04-27,60.0,4.014532145261233e-05,65.0,2016-04-23,10.0,,500.0,42.0,24.6,
2016-06-26,90,2016-03-28,2015-12-20,2016-03-28,90.0,4.014532145261233e-05,40.0,2016-03-27,10.0,,500.0,42.0,24.4,
2016-06-26,180,,,,,,,,,,,,,Only 0 polls published at least 180 days before 2016-06-26 (minimum 5)
2019-04-28,6,2019-04-22,2016-06-26,2019-04-22,6.0,4.023533759776724e-05,325.0,2019-04-22,13.0,,500.0,42.0,25.3,
2019-04-28,14,2019-04-14,2016-06-26,2019-04-14,14.0,4.023533759776724e-05,300.0,2019-04-13,13.0,,500.0,42.0,25.2,
2019-04-28,30,2019-03-29,2016-06-26,2019-03-29,30.0,4.023533759776724e-05,282.0,2019-03-29,13.0,,500.0,42.0,24.9,
2019-04-28,60,2019-02-27,2016-06-26,2019-02-27,60.0,4.023533759776724e-05,263.0,2019-02-22,13.0,,500.0,42.0,24.5,
2019-04-28,90,2019-01-28,2016-06-26,2019-01-28,90.0,4.023533759776724e-05,251.0,2019-01-25,13.0,,500.0,42.0,24.3,
2019-04-28,180,2018-10-30,2016-06-26,2018-10-30,180.0,4.023533759776724e-05,225.0,2018-10-30,13.0,,500.0,42.0,23.7,
2019-11-10,6,2019-11-04,2019-04-28,2019-11-04,6.0,4.405224848442468e-05,97.0,2019-11-04,14.0,,500.0,42.0,20.1,
2019-11-10,14,2019-10-27,2019-04-28,2019-10-27,14.0,4.405224848442468e-05,78.0,2019-10-27,14.0,,500.0,42.0,20.0,
2019-11-10,30,2019-10-11,2019-04-28,2019-10-11,30.0,4.405224848442468e-05,55.0,2019-10-11,14.0,,500.0,42.0,19.8,
2019-11-10,60,2019-09-11,2019-04-28,2019-09-11,60.0,4.405224848442468e-05,27.0,2019-09-06,14.0,,500.0,42.0,19.6,
2019-11-10,90,2019-08-12,2019-04-28,2019-08-12,90.0,4.405224848442468e-05,20.0,2019-08-11,14.0,,500.0,42.0,19.4,
2019-11-10,180,,,,,,,,,,,,,Only 1 polls published at least 180 days before 2019-11-10 (minimum 5)
2023-07-23,6,2023-07-17,2019-11-10,2023-07-17,6.0,4.467204376799707e-05,639.0,2023-07-17,12.0,,500.0,42.0,26.9,
2023-07-23,14,2023-07-09,2019-11-10,2023-07-09,14.0,4.467204376799707e-05,573.0,2023-07-09,12.0,,500.0,42.0,26.8,
2023-07-23,30,2023-06-23,2019-11-10,2023-06-23,30.0,4.467204376799707e-05,531.0,2023-06-23,12.0,,500.0,42.0,26.7,
2023-07-23,60,2023-05-24,2019-11-10,2023-05-21,63.0,4.467204376799707e-05,501.0,2023-05-11,12.0,,500.0,42.0,26.3,
2023-07-23,90,2023-04-24,2019-11-10,2023-04-24,90.0,4.467204376799707e-05,492.0,2023-04-21,12.0,,500.0,42.0,26.2,
2023-07-23,180,2023-01-24,2019-11-10,2023-01-24,180.0,4.467204376799707e-05,452.0,2023-01-20,12.0,,500.0,42.0,25.5,
