event_date,horizon,party,main,official,model,fc_lo,fc_hi,last_poll,mean_4w,prev_result,lo50,hi50,lo80,hi80,lo95,hi95,lo50_h,hi50_h,lo80_h,hi80_h,lo95_h,hi95_h
2015-12-20,6,PP,True,28.71,27.900016658902572,26.874850769900004,28.92518254790514,26.96666666666667,27.48125,44.63,26.22,29.2425,24.907,31.072000000000003,23.33375,33.046499999999995,26.21,29.2525,24.895999999999997,31.092000000000002,23.308500000000002,33.08174999999999
2015-12-20,6,PSOE,True,22.0,20.644024434373378,19.817694081681214,21.470354787065542,21.599999999999998,21.29375,28.76,19.35,21.88,17.759,23.063,16.61475,24.545749999999998,19.35,21.8825,17.74,23.073,16.59475,24.560999999999996
2015-12-20,6,UP,True,20.68,17.983418838787827,17.261247009571996,18.70559066800366,18.5,16.6,,16.634999999999998,19.3125,15.47,20.47,13.952750000000002,22.05775,16.6275,19.32,15.469000000000001,20.48,13.932750000000002,22.072999999999997
2015-12-20,6,Cs,True,13.94,18.431331551592592,17.572969153603797,19.289693949581387,17.266666666666666,19.18125,,17.0275,19.884999999999998,15.878,21.061,14.33425,22.48525,17.02,19.895,15.867999999999999,21.071,14.314250000000001,22.5
2015-12-20,6,IU,True,3.68,3.8932628910520055,3.350753544384302,4.435772237719709,4.233333333333333,4.13404255319149,6.92,3.1175,4.88,2.328,5.754000000000001,1.40475,6.59,3.11,4.88,2.328,5.754000000000001,1.40475,6.59
2015-12-20,6,ERC,False,2.4,2.1875292528074244,2.0008097821422375,2.3742487234726113,2.25,2.1343750000000004,1.06,2.01,2.34,1.87,2.4810000000000003,1.68,2.62,2.01,2.34,1.87,2.4810000000000003,1.67475,2.62
2015-12-20,6,CDC,False,2.25,2.023311692898088,1.7210296859353653,2.3255936998608107,2.15,2.0628571428571427,,1.88,2.1925,1.74,2.35,1.57475,2.54,1.88,2.2,1.74,2.3510000000000004,1.57,2.54
2015-12-20,6,PNV,False,1.2,1.164919148765117,1.0640831276898917,1.2657551698403422,1.35,1.2424242424242424,1.33,1.04,1.28,0.91,1.41,0.7847500000000002,1.55,1.04,1.28,0.91,1.41,0.7847500000000002,1.55
2015-12-20,6,EHB,False,0.87,1.0754055046755293,1.0171237012435235,1.1336873081075352,1.1,1.0793103448275863,,0.97,1.18,0.8589999999999999,1.3,0.7047500000000001,1.4352499999999997,0.97,1.18,0.8589999999999999,1.3,0.7047500000000001,1.44
2015-12-20,6,UPyD,False,0.62,0.389963155932902,0.26779659300061914,0.5121297188651849,,0.3592592592592592,4.7,0.0,1.105,0.0,1.8010000000000004,0.0,2.658249999999997,0.0,1.105,0.0,1.8010000000000004,0.0,2.658249999999997
2015-12-20,6,CC,False,0.32,0.31753478293674053,0.2518914424183216,0.38317812345515945,0.4,0.3695652173913043,0.59,0.22,0.4025,0.14,0.49,0.0,0.58,0.22,0.4025,0.14,0.49,0.0,0.58
2015-12-20,6,BNG,False,0.28,0.3936231324570696,0.3374407300279637,0.4498055348861755,,0.38823529411764707,0.76,0.29,0.47,0.2,0.5710000000000002,0.1,0.67,0.29,0.47,0.2,0.5710000000000002,0.1,0.67
2015-12-20,14,PP,True,28.71,27.154948342943406,26.096505201953928,28.213391483932885,27.25,27.519444444444442,44.63,25.375,28.572499999999998,23.929,30.593,22.27475,32.36575,25.355,28.59,23.889,30.633,22.21475,32.425749999999994
2015-12-20,14,PSOE,True,22.0,21.41217546625014,20.641273463294155,22.183077469206125,19.6,21.541666666666668,28.76,19.99,22.762500000000003,18.338,24.041999999999998,17.09375,25.57525,19.97,22.7725,18.308,24.061999999999998,17.05375,25.61525
2015-12-20,14,UP,True,20.68,16.385043996517894,15.76910847646387,17.000979516571917,15.850000000000001,15.580555555555557,,14.99,17.75,13.839,18.97,12.222750000000001,20.551,14.98,17.759999999999998,13.819,18.99,12.198,20.581
2015-12-20,14,Cs,True,13.94,19.495745415743322,17.998714699105186,20.992776132381458,21.549999999999997,19.386111111111113,,17.9075,21.1475,16.605999999999998,22.48,14.84475,24.11,17.89,21.1575,16.575999999999997,22.501,14.80475,24.14
2015-12-20,14,IU,True,3.68,3.990454710530072,3.6850598450651386,4.295849575995005,3.7,4.188888888888889,6.92,3.1675,5.02,2.368,5.885000000000001,1.4132500000000006,6.781999999999998,3.1675,5.02,2.368,5.885000000000001,1.4132500000000006,6.786749999999999
2015-12-20,14,ERC,False,2.4,2.0073114116662585,1.8429729040190095,2.1716499193135075,2.0,2.144,1.06,1.83,2.16,1.6889999999999998,2.31,1.49475,2.45,1.83,2.16,1.6889999999999998,2.31,1.49,2.45
2015-12-20,14,CDC,False,2.25,2.1097691390324496,1.9591478292830138,2.2603904487818856,2.2,2.153846153846154,,1.97,2.27,1.84,2.42,1.69,2.6,1.97,2.27,1.84,2.42,1.69,2.6
2015-12-20,14,PNV,False,1.2,1.1955454791274127,1.127777914326072,1.2633130439287534,1.2,1.2599999999999998,1.33,1.07,1.32,0.9289999999999999,1.4510000000000003,0.8047500000000002,1.6,1.07,1.32,0.9289999999999999,1.4510000000000003,0.8047500000000002,1.6
2015-12-20,14,EHB,False,0.87,1.0297377809362378,0.9407396147945504,1.1187359470779252,1.0,1.0681818181818181,,0.9175,1.14,0.7989999999999999,1.27,0.63,1.4152499999999997,0.9175,1.14,0.7989999999999999,1.27,0.63,1.42
2015-12-20,14,UPyD,False,0.62,0.34176764475386534,0.2394806223124325,0.4440546671952982,0.3,0.3666666666666667,4.7,0.0,1.0925,0.0,1.8220000000000005,0.0,2.708249999999997,0.0,1.0925,0.0,1.8220000000000005,0.0,2.708249999999997
2015-12-20,14,CC,False,0.32,0.34398575497939277,0.2773299947182925,0.410641515240493,0.5,0.3684210526315789,0.59,0.24,0.44,0.15,0.52,0.01,0.6252499999999998,0.24,0.44,0.15,0.52,0.01,0.6252499999999998
2015-12-20,14,BNG,False,0.28,0.4387038749365102,0.34915643442802125,0.5282513154449991,0.5,0.38749999999999996,0.76,0.3275,0.52,0.22,0.6310000000000002,0.12,0.7452499999999997,0.3275,0.52,0.22,0.6310000000000002,0.12,0.7452499999999997
2015-12-20,30,PP,True,28.71,27.97677442786156,27.00661036161623,28.94693849410689,27.5,27.142307692307693,44.63,26.165,29.412499999999998,24.726,31.49,23.0295,33.22725,26.115000000000002,29.4525,24.636,31.58,22.90475,33.361999999999995
2015-12-20,30,PSOE,True,22.0,22.647606467246263,21.601533867829435,23.69367906666309,23.9,21.54615384615385,28.76,21.155,24.05,19.417,25.412,18.1585,26.97,21.125,24.08,19.355999999999998,25.471999999999998,18.0685,27.05525
2015-12-20,30,UP,True,20.68,14.463960186752947,13.179299064916833,15.748621308589062,15.1,14.71923076923077,,13.065000000000001,15.8325,11.909,17.052,10.278250000000003,18.610500000000002,13.0475,15.8425,11.879000000000001,17.082,10.228250000000003,18.6505
2015-12-20,30,Cs,True,13.94,20.467365093396552,19.290402768286242,21.64432741850686,18.9,19.046153846153846,,18.8475,22.12,17.588,23.423000000000002,15.807500000000001,25.03575,18.8175,22.15,17.538,23.474,15.72225,25.1205
2015-12-20,30,IU,True,3.68,4.332817082909037,3.9009442275152892,4.764689938302785,3.4,4.550000000000001,6.92,3.49,5.4,2.667,6.2570000000000014,1.6780000000000008,7.212499999999998,3.4875000000000003,5.4,2.667,6.2570000000000014,1.6680000000000008,7.212499999999998
2015-12-20,30,ERC,False,2.4,1.797189062110965,1.6765426940155659,1.917835430206364,1.8,2.1785714285714284,1.06,1.64,1.93,1.519,2.06,1.35,2.18,1.64,1.94,1.51,2.06,1.3447500000000001,2.19
2015-12-20,30,CDC,False,2.25,2.2147438195925684,2.047662131175992,2.3818255080091446,2.0,2.3187500000000005,,2.08,2.37,1.95,2.52,1.81,2.69,2.08,2.37,1.95,2.52,1.8,2.7
2015-12-20,30,PNV,False,1.2,1.168289019532997,1.0379205167945242,1.2986575222714696,1.2,1.3133333333333335,1.33,1.0475,1.29,0.9089999999999999,1.42,0.7947500000000002,1.55,1.04,1.29,0.9089999999999999,1.42,0.7947500000000002,1.56
2015-12-20,30,EHB,False,0.87,1.048757137549944,0.953862611909616,1.1436516631902722,1.0,1.1428571428571428,,0.94,1.15,0.8389999999999999,1.27,0.68,1.41,0.94,1.15,0.83,1.27,0.68,1.41
2015-12-20,30,UPyD,False,0.62,0.34130989495763586,0.18677753784812295,0.49584225206714877,0.4,0.44761904761904764,4.7,0.0,1.11,0.0,1.8610000000000004,0.0,2.7534999999999967,0.0,1.11,0.0,1.8610000000000004,0.0,2.7534999999999967
2015-12-20,30,CC,False,0.32,0.37595951479793055,0.33123735588657116,0.42068167370928994,0.4,0.4000000000000001,0.59,0.29,0.46,0.2,0.54,0.07,0.63,0.29,0.46,0.2,0.54,0.07,0.63
2015-12-20,30,BNG,False,0.28,0.5177745869346111,0.4026310056609882,0.632918168208234,0.5,0.44000000000000006,0.76,0.4075,0.6,0.31,0.7010000000000002,0.21,0.81,0.4075,0.6,0.31,0.7010000000000002,0.21,0.81
2015-12-20,60,PP,True,28.71,29.542420575561163,27.89629805217377,31.188543098948557,27.7,28.13888888888889,44.63,27.365000000000002,31.1025,25.55,33.376,23.5665,35.2305,27.275000000000002,31.1625,25.39,33.52700000000001,23.33125,35.4505
2015-12-20,60,PSOE,True,22.0,25.187103975839037,24.310418386239647,26.063789565438427,21.8,24.0,28.76,23.42,26.8175,21.709,28.605000000000004,19.833250000000003,30.36525,23.3575,26.8775,21.589,28.725,19.643250000000002,30.54525
2015-12-20,60,UP,True,20.68,13.196429879041649,11.689076522056535,14.703783236026762,14.1,14.005555555555555,,11.5375,14.64,10.009,15.99,8.86325,17.716749999999998,11.51,14.6625,9.959000000000001,16.03,8.798,17.781499999999998
2015-12-20,60,Cs,True,13.94,16.93415144865798,14.469330695628335,19.398972201687624,17.6,15.88888888888889,,15.295,18.665,13.638,20.224,11.756000000000002,21.78625,15.265,18.695,13.578,20.284000000000002,11.66125,21.87625
2015-12-20,60,IU,True,3.68,4.346120402911671,4.017046856039765,4.675193949783577,4.1,4.377777777777777,6.92,3.21,5.635,2.477,6.637000000000001,1.2242500000000003,7.642499999999998,3.2,5.635,2.467,6.638000000000002,1.2195000000000003,7.652499999999998
2015-12-20,60,ERC,False,2.4,1.8579668908683482,1.6673544730754584,2.048579308661238,2.5,2.06,1.06,1.71,2.01,1.559,2.14,1.38,2.3052499999999996,1.7,2.02,1.559,2.15,1.37,2.32
2015-12-20,60,CDC,False,2.25,2.2207550902357274,2.058975290038116,2.3825348904333388,2.7,2.2916666666666665,,2.09,2.4,1.94,2.55,1.7695000000000003,2.6804999999999994,2.08,2.41,1.93,2.5610000000000004,1.75475,2.6904999999999997
2015-12-20,60,PNV,False,1.2,1.18888098009307,0.9891305684624665,1.3886313917236734,1.6,1.218181818181818,1.33,1.07,1.3,0.9389999999999998,1.43,0.83,1.5704999999999996,1.07,1.31,0.9389999999999998,1.43,0.8247500000000001,1.5804999999999996
