code,province,reg_code,region,population
1,Álava,16,País Vasco,331549
2,Albacete,8,C. La Mancha,388167
3,Alicante,10,Valencia,1858683
4,Almería,1,Andalucía,716820
5,Ávila,7,C. León,157640
6,Badajoz,11,Extremadura,673559
7,Baleares,4,Baleares,1149460
8,Barcelona,9,Cataluña,5664579
9,Burgos,7,C. León,356958
10,Cáceres,11,Extremadura,394151
11,Cádiz,1,Andalucía,1240155
12,Castellón,10,Valencia,579962
13,Ciudad Real,8,C. La Mancha,495761
14,Córdoba,1,Andalucía,782979
15,La Coruña,12,Galicia,1119596
16,Cuenca,8,C. La Mancha,196329
17,Gerona,9,Cataluña,771044
18,Granada,1,Andalucía,914678
19,Guadalajara,8,C. La Mancha,257762
20,Guipúzcoa,16,País Vasco,723576
21,Huelva,1,Andalucía,521870
22,Huesca,2,Aragón,220461
23,Jaén,1,Andalucía,633564
24,León,7,C. León,460001
25,Lérida,9,Cataluña,434930
26,La Rioja,17,La Rioja,316798
27,Lugo,12,Galicia,329587
28,Madrid,13,Madrid,6663394
29,Málaga,1,Andalucía,1661785
30,Murcia,14,Murcia,1493898
31,Navarra,15,Navarra,654214
32,Orense,12,Galicia,307651
33,Asturias,3,Asturias,1022800
34,Palencia,7,C. León,160980
35,Las Palmas,5,Canarias,1120406
36,Pontevedra,12,Galicia,942665
37,Salamanca,7,C. León,330119
38,S. C. Tenerife,5,Canarias,1032983
39,Cantabria,6,Cantabria,581078
40,Segovia,7,C. León,153129
41,Sevilla,1,Andalucía,1942389
42,Soria,7,C. León,88636
43,Tarragona,9,Cataluña,804664
44,Teruel,2,Aragón,134137
45,Toledo,8,C. La Mancha,694844
46,Valencia,10,Valencia,2565124
47,Valladolid,7,C. León,519546
48,Vizcaya,16,País Vasco,1152651
49,Zamora,7,C. León,172539
50,Zaragoza,2,Aragón,964693
51,Ceuta,18,Ceuta,84777
52,Melilla,19,Melilla,86487
