code,region,age,population
1,Andalucía,0,63931
1,Andalucía,1,71140
1,Andalucía,2,75609
1,Andalucía,3,80897
1,Andalucía,4,82416
1,Andalucía,5,84430
1,Andalucía,6,83191
1,Andalucía,7,88264
1,Andalucía,8,90960
1,Andalucía,9,93417
1,Andalucía,10,96176
1,Andalucía,11,102005
1,Andalucía,12,98723
1,Andalucía,13,99547
1,Andalucía,14,96705
1,Andalucía,15,94787
1,Andalucía,16,92482
1,Andalucía,17,89439
1,Andalucía,18,90207
1,Andalucía,19,91017
1,Andalucía,20,89695
1,Andalucía,21,87463
1,Andalucía,22,88998
1,Andalucía,23,88435
1,Andalucía,24,90031
1,Andalucía,25,91381
1,Andalucía,26,95774
1,Andalucía,27,98525
1,Andalucía,28,98559
1,Andalucía,29,99811
1,Andalucía,30,100992
1,Andalucía,31,102056
1,Andalucía,32,103693
1,Andalucía,33,106152
1,Andalucía,34,109048
1,Andalucía,35,114142
1,Andalucía,36,117986
1,Andalucía,37,124104
1,Andalucía,38,127500
1,Andalucía,39,134544
1,Andalucía,40,136199
1,Andalucía,41,140887
1,Andalucía,42,141964
1,Andalucía,43,142942
1,Andalucía,44,141237
1,Andalucía,45,139869
1,Andalucía,46,136980
1,Andalucía,47,136936
1,Andalucía,48,134268
1,Andalucía,49,133832
1,Andalucía,50,133110
1,Andalucía,51,133128
1,Andalucía,52,135348
1,Andalucía,53,130660
1,Andalucía,54,129827
1,Andalucía,55,132689
1,Andalucía,56,124354
1,Andalucía,57,117393
1,Andalucía,58,114174
1,Andalucía,59,114338
1,Andalucía,60,109872
1,Andalucía,61,108590
1,Andalucía,62,104522
1,Andalucía,63,94504
1,Andalucía,64,91743
1,Andalucía,65,85709
1,Andalucía,66,86939
1,Andalucía,67,84757
1,Andalucía,68,78473
1,Andalucía,69,71038
1,Andalucía,70,76270
1,Andalucía,71,80064
1,Andalucía,72,72674
1,Andalucía,73,65841
1,Andalucía,74,70689
1,Andalucía,75,64975
1,Andalucía,76,65198
1,Andalucía,77,52632
1,Andalucía,78,45524
1,Andalucía,79,56514
1,Andalucía,80,39851
1,Andalucía,81,40013
1,Andalucía,82,41566
1,Andalucía,83,42389
1,Andalucía,84,38648
1,Andalucía,85,34235
1,Andalucía,86,33000
1,Andalucía,87,29342
1,Andalucía,88,24209
1,Andalucía,89,20819
1,Andalucía,90,16909
1,Andalucía,91,13708
1,Andalucía,92,10018
1,Andalucía,93,7988
1,Andalucía,94,5935
1,Andalucía,95,4472
1,Andalucía,96,3119
1,Andalucía,97,2279
1,Andalucía,98,1434
1,Andalucía,99,985
1,Andalucía,100,2597
2,Aragón,0,9441
2,Aragón,1,10244
2,Aragón,2,10931
2,Aragón,3,11481
2,Aragón,4,12016
2,Aragón,5,12279
2,Aragón,6,12181
2,Aragón,7,12443
2,Aragón,8,12942
2,Aragón,9,13165
2,Aragón,10,13293
2,Aragón,11,13841
2,Aragón,12,13495
2,Aragón,13,13098
2,Aragón,14,12785
2,Aragón,15,12992
2,Aragón,16,12698
2,Aragón,17,12408
2,Aragón,18,12842
2,Aragón,19,12791
2,Aragón,20,12724
2,Aragón,21,12455
2,Aragón,22,12778
2,Aragón,23,12826
2,Aragón,24,12764
2,Aragón,25,13094
2,Aragón,26,13173
2,Aragón,27,13471
2,Aragón,28,13533
2,Aragón,29,13583
2,Aragón,30,14295
2,Aragón,31,14721
2,Aragón,32,14810
2,Aragón,33,15436
2,Aragón,34,15879
2,Aragón,35,16402
2,Aragón,36,16547
2,Aragón,37,17682
2,Aragón,38,18639
2,Aragón,39,19875
2,Aragón,40,20381
2,Aragón,41,21238
2,Aragón,42,22018
2,Aragón,43,22143
2,Aragón,44,22334
2,Aragón,45,21830
2,Aragón,46,21345
2,Aragón,47,21551
2,Aragón,48,21035
2,Aragón,49,21068
2,Aragón,50,20457
2,Aragón,51,20502
2,Aragón,52,20578
2,Aragón,53,20211
2,Aragón,54,19893
2,Aragón,55,20338
2,Aragón,56,19625
2,Aragón,57,19182
2,Aragón,58,18747
2,Aragón,59,18733
2,Aragón,60,18219
2,Aragón,61,17715
2,Aragón,62,17396
2,Aragón,63,16341
2,Aragón,64,15796
2,Aragón,65,14633
2,Aragón,66,14654
2,Aragón,67,14762
2,Aragón,68,13513
2,Aragón,69,13338
2,Aragón,70,13678
2,Aragón,71,13994
2,Aragón,72,12843
2,Aragón,73,12549
2,Aragón,74,12624
2,Aragón,75,11877
2,Aragón,76,11527
2,Aragón,77,10268
2,Aragón,78,9336
2,Aragón,79,10259
2,Aragón,80,7059
2,Aragón,81,7424
2,Aragón,82,8372
2,Aragón,83,9275
